Journal,Year,Volume,Issue,Article,Country,Software,Version,Type
World Journal of Surgery,2020,44,9,Laparoscopic Pelvic Organ Prolapse Suspension (Pops) Versus Laparoscopic Ventral Mesh Rectopexy for Treatment of Rectal Prolapse: Prospective Cohort Study,Egypt,SPSS,24,Commercial
World Journal of Surgery,2020,44,9,Transcutaneous Stimulation of Auricular Branch of the Vagus Nerve Attenuates the Acute Inflammatory Response After Lung Lobectomy,Austria,SPSS,21,Commercial
World Journal of Surgery,2016,40,10,Prehospital Blood Transfusions in Non-Trauma Patients,USA,SAS,9.3,Commercial
World Journal of Surgery,2016,40,10,Antibiotics Versus Appendicectomy for the Treatment of Uncomplicated Acute Appendicitis: An Updated Meta-Analysis of Randomised Controlled Trials,United Kingdom,Review Manager,5.3,Open source
World Journal of Surgery,2016,40,10,Incisional Hernia Rates After Laparoscopic or Open Abdominal Surgery—A Systematic Review and Meta-Analysis,Germany,R,3.4,Open source
World Journal of Surgery,2016,40,10,"Trocar Injuries in Laparoscopy: Techniques, Tools, and Means for Prevention. A Systematic Review of the Literature",Belgium,Review Manager,,Open source
World Journal of Surgery,2016,40,10,TAPP or TEP for Recurrent Inguinal Hernia? Population-Based Analysis of Prospective Data on 1309 Patients Undergoing Endoscopic Repair for Recurrent Inguinal Hernia,Switzerland,SAS,9.1,Commercial
World Journal of Surgery,2016,40,10,Outcomes of Parathyroidectomy in Patients with Primary Hyperparathyroidism: A Systematic Review and Meta-analysis,USA,Open-Meta,,Open source
World Journal of Surgery,2016,40,10,The Long-Term Prognosis of Voice Pitch Change in Female Patients After Thyroid Surgery,Republic of Korea,SPSS,18,Commercial
World Journal of Surgery,2016,40,10,Septuagenarians and Older Patients are at a Higher Risk of Mortality with Adrenal Metastasectomy: An Analysis of the HCUP-NIS Database From 1992 to 2011,USA,Stata,13.1,Commercial
World Journal of Surgery,2016,40,10,Mediastinal Adiposity Influences the Technical Difficulty of Thoracic Procedure in Minimally Invasive Esophagectomy,Japan,SPSS,22,Commercial
World Journal of Surgery,2016,40,10,Gastric Outlet Obstruction After Esophagectomy: Retrospective Analysis of the Effectiveness and Safety of Postoperative Endoscopic Pyloric Dilatation,Germany,SPSS,15.1,Commercial
World Journal of Surgery,2016,40,10,Spirometric Lung Age Predicts Postoperative Pneumonia After Esophagectomy,Japan,SPSS,22,Commercial
World Journal of Surgery,2016,40,10,Cost–Benefit Analysis of the Implementation of an Enhanced Recovery Program in Liver Surgery,Switzerland,SPSS,19,Commercial
World Journal of Surgery,2016,40,10,Actual Long-Term Survival Outcome of 403 Consecutive Patients with Hilar Cholangiocarcinoma,South Korea,SPSS,19,Commercial
World Journal of Surgery,2016,40,10,Risk Factors for Early Recurrence of Single Lesion Hepatocellular Carcinoma After Curative Resection,Japan,SPSS,13,Commercial
World Journal of Surgery,2016,40,10,Comparison of Salvage Living Donor Liver Transplantation and Local Regional Therapy for Recurrent Hepatocellular Carcinoma,Taiwan,SPSS,17,Commercial
World Journal of Surgery,2016,40,10,Validation of a Nomogram to Predict the Risk of Perioperative Blood Transfusion for Liver Resection,USA,Stata,13.1,Commercial
World Journal of Surgery,2016,40,10,Robotic Liver Resection For Primary Hepatolithiasis: Is It Beneficial?,China,SPSS,21,Commercial
World Journal of Surgery,2016,40,10,Blood Transfusion is an Independent Risk Factor for Postoperative Serious Infectious Complications After Pancreaticoduodenectomy,China,SPSS,13,Commercial
World Journal of Surgery,2016,40,10,A Contemporary Evaluation of the Cause of Death and Long-Term Quality of Life After Total Pancreatectomy,USA,SPSS,19,Commercial
World Journal of Surgery,2016,40,10,Enhanced Recovery Pathway for Right and Left Colectomy: Comparison of Functional Recovery,Switzerland,SPSS,22,Commercial
World Journal of Surgery,2016,40,10,Enhanced Recovery Pathway for Right and Left Colectomy: Comparison of Functional Recovery,Switzerland,SPSS,22,Commercial
World Journal of Surgery,2016,40,10,Efficacy of Prophylactic Mesh in End-Colostomy Construction: A Systematic Review and Meta-analysis of Randomized Controlled Trials,China,Stata,12,Commercial
World Journal of Surgery,2016,40,9,"The Hernia–Neck-Ratio (HNR), a Novel Predictive Factor for Complications of Umbilical Hernia",Switzerland,Stata,13,Commercial
World Journal of Surgery,2016,40,9,"Chronic Pain, Quality of Life, and Functional Impairment After Surgery Due to Small Bowel Obstruction",Denmark,SPSS,22,Commercial
World Journal of Surgery,2016,40,9,Non-Obstetric Surgical Care at Three Rural District Hospitals in Rwanda: More Human Capacity and Surgical Equipment May Increase Operative Care,Rwanda,Stata,13,Commercial
World Journal of Surgery,2016,40,9,Orthopedic Activity in Field Hospitals Following Earthquakes in Nepal and Haiti,Israel,SPSS,,Commercial
World Journal of Surgery,2016,40,9,Multifocal Versus Solitary Papillary Thyroid Carcinoma,Greece,SPSS,13,Commercial
World Journal of Surgery,2016,40,9,A Positive Node on Ultrasound-Guided Fine Needle Aspiration Predicts Higher Nodal Burden Than a Positive Sentinel Lymph Node Biopsy in Breast Carcinoma,Ireland,SPSS,19,Commercial
World Journal of Surgery,2016,40,9,Recurrent Primary Spontaneous Pneumothorax is Common Following Chest Tube and Conservative Treatment,Denmark,Stata,13,Commercial
World Journal of Surgery,2016,40,9,Vats Versus Axillary Minithoracotomy in the Management of the Second Episode of Spontaneous Pneumothorax: Cost–Benefit Analysis,Italy,SPSS,10,Commercial
World Journal of Surgery,2016,40,9,Prognostic Analysis of Surgical Resection for Pulmonary Metastasis from Hepatocellular Carcinoma,Japan,SPSS,20,Commercial
World Journal of Surgery,2016,40,9,Perforated Peptic Ulcer Repair: Factors Predicting Conversion in Laparoscopy and Postoperative Septic Complications,Switzerland,SPSS,8,Commercial
World Journal of Surgery,2016,40,9,Pharmacological Modulation of Ischemic-Reperfusion Injury during Pringle Maneuver in Hepatic Surgery. A Prospective Randomized Pilot Study,Italy,SPSS,20,Commercial
World Journal of Surgery,2016,40,9,Prospective Validation of Optimal Drain Management “The 3 × 3 Rule” after Liver Resection,Japan,JMP Pro,9,Commercial
World Journal of Surgery,2016,40,9,Regeneration of Liver Function Capacity After Partial Liver Resection is Impaired in Case of Postoperative Bile Leakage,Germany,SPSS,22,Commercial
World Journal of Surgery,2016,40,9,Significant Improvement in Outcomes of Patients with Intrahepatic Cholangiocarcinoma after Surgery,Japan,JMP Pro,12.1,Commercial
World Journal of Surgery,2016,40,9,The C-reactive Protein to Albumin Ratio Predicts Long-Term Outcomes in Patients with Pancreatic Cancer After Pancreatic Resection,Japan,SPSS,20,Commercial
World Journal of Surgery,2016,40,9,Non-trauma Emergency Pancreatoduodenectomies: A Single-Center Retrospective Analysis,Germany,SPSS,18,Commercial
World Journal of Surgery,2016,40,9,Comparison of Surgical Outcomes Between Radical Antegrade Modular Pancreatosplenectomy (RAMPS) and Standard Retrograde Pancreatosplenectomy (SPRS) for Left-Sided Pancreatic Cancer,Japan,JMP Pro,11,Commercial
South African Journal of Surgery,2016,54,3,Outcomes in laparoscopic cholecystectomy in a resource constrained environment ,SA,SPSS,2,Commercial
South African Journal of Surgery,2016,54,3,Incidence and management of postoperative bile leaks: A prospective cohort analysis of 467 liver resections,SA,Stata,11,Commercial
South African Journal of Surgery,2016,54,3,Comparing laparoscopic appendectomy to open appendectomy in managing generalised purulent peritonitis from complicated appendicitis: the uncharted path,SA,SAS,9.1,Commercial
South African Journal of Surgery,2016,54,3,Liberal transfusion strategies still the trend in burn surgery,SA,SPSS,23,Commercial
South African Journal of Surgery,2016,54,4,Enhanced recovery after surgery (ERAS) in penetrating abdominal trauma: A prospective single-center pilot study,SA,Stata,,Commercial
South African Journal of Surgery,2016,54,4,"Trauma unit attendance: Is there a relationship with weather, sporting events and week/month-end times? An audit at an urban tertiary trauma unit in Cape Town",SA,Stata,13,Commercial
